product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
b379784a-f9a1-5b36-9dd1-086860aab8e0,Ebetempiteb,UGI Corporation,23163.57,3444366.53,Baby,3/6/2079
09f7f668-e150-5a55-b9f9-118bde923b6c,Efwalauru,KB Home,84163.62,1868052.88,Toys and Games,3/3/2029
7989bc6c-1d8d-51bc-a893-976ab50e4c45,Irpewdulne,Tesoro Petroleum Corp.,84957.83,7607309.51,Automotive,12/10/2062
22008561-4721-54ec-bdbb-4835ee0d8156,Togiziicode,Sempra Energy,62029.93,5461481.85,Books and Audible,2/17/2101
7989bc6c-1d8d-51bc-a893-976ab50e4c45,Izaasotes,Wendy's International Inc,3392.26,1510498.1,Craft and Hobbies,8/17/2027
c60b8793-a0db-5a18-9eea-6e485c2f193f,Wisfuhumgic,The AES Corporation,29523.19,4655202.26,Industrial and Scientific,1/4/2059
25f323ee-6bdc-5ed4-83bf-2c1b82fbe2da,Zebokackek,Corn Products International Inc.,12085.43,3940241,Industrial and Scientific,7/28/2044
d90601a2-2e33-58c6-a2b3-60b58dbb5b49,Putkowaije,Allied Waste Industries Inc.,57819.94,9090145.43,Musical Instruments,2/14/2106
14d2deaf-c8f5-56ae-83dc-751c970638cb,Ehetiwigro,Nvidia Corp,74193.02,4846701.04,Electronics,10/23/2028
2491b9ec-8b21-57d0-ad9a-6ef37d51ed2d,Sibifpuwsu,Marsh Supermarkets Inc.,78685.69,7614604.38,Toys and Games,3/6/2080
